Russell Crowe,Daniel Pollock,Jacqueline McKenzie,romper stomper
Ashley Judd,Todd Field,Bentley Mitchum,ruby in paradise
Sean Astin,Jon Favreau,Ned Beatty,rudy
Danny Glover,Matt Dillon,Rick Aviles,the saint of fort washington
Cyril Collard,Romane Bohringer,Carlos López,savage nights
Liam Neeson,Ben Kingsley,Ralph Fiennes,schindler's list
Brendan Fraser,Albert Brooks,Dianne Wiest,the scout
Max Pomeranc,Joe Mantegna,Joan Allen,searching for bobby fischer
William Hurt,Nathan Yapp,Keith Allen,second best
Kathleen Turner,Sam Waterston,Ricki Lake,serial mom
Alec Baldwin,John Lone,Penelope Ann Miller,the shadow
Anthony Hopkins,Debra Winger,John Wood,shadowlands
Julianne Moore,Andie MacDowell,Tim Robbins,short cuts
Steve Martin,Anne Heche,Gabriel Byrne,a simple twist of fate
Hugh Grant,Tara Fitzgerald,Sam Neill,sirens
Will Smith,Donald Sutherland,Stockard Channing,six degrees of separation
Tom Hanks,Meg Ryan,Bill Pullman,sleepless in seattle
Sharon Stone,William Baldwin,Tom Berenger,sliver
Harrison Ford,Rutger Hauer,Sean Young,blade runner
Pauly Shore,Carla Gugino,Lane Smith,son in law
Mike Myers,Nancy Travis,Anthony LaPaglia,so i married an axe murderer
Bruce Willis,Sarah Jessica Parker,Dennis Farina,striking distance
Nastassja Kinski,Ben Kingsley,Zohra Sehgal,harem
Bob Hoskins,John Leguizamo,Dennis Hopper,super mario bros.
Ice-T,Rutger Hauer,Charles S. Dutton,surviving the game
Charlie Sheen,Nastassja Kinski,James Gandolfini,terminal velocity
Colm Feore,Derek Keurvorst,Derek Keurvorst,thirty two short films about glenn gould
Josh Charles,Stephen Baldwin,Lara Flynn Boyle,threesome
Danny Elfman,Chris Sarandon,Catherine O'Hara,the nightmare before christmas
Kurt Russell,Val Kilmer,Sam Elliott,tombstone
William Hurt,Joanne Whalley,Gabriel Byrne,trial by jury
Christian Slater,Patricia Arquette,Michael Rapaport,true romance
James Carville,George Stephanopoulos,Heather Beckel,the war room
Macaulay Culkin,Christopher Lloyd,Patrick Stewart,the pagemaster
Leslie Hope,Peter Outerbridge,Victor Ertmanis,"paris, france"
Anthony LaPaglia,Mimi Rogers,Matt Craven,killer
Heather Matarazzo,Victoria Davis,Christina Brucato,welcome to the dollhouse
Miou-Miou,Gérard Depardieu,Renaud,germinal
Tom Berenger,William McNamara,Эрика Элениак,chasers
Federico Luppi,Ron Perlman,Claudio Brook,cronos
Eric Stoltz,Mary-Louise Parker,Ralph Macchio,naked in new york
Verónica Forqué,Victoria Abril,Peter Coyote,kika
Kim Vithana,Jimmi Harkishin,Sarita Khajuria,bhaji on the beach
Luke Edwards,Timothy Busfield,John Ashton,little big league
Stellan Skarsgård,Jesper Salén,Basia Frydman,the slingshot
Julie Walters,Jim Broadbent,Thora Hird,wide eyed and legless
Robin Givens,Marco Hofschneider,Rick Johnson,foreign student
Paolo Villaggio,Gigio Morra,Paolo Bonacelli,"ciao, professore!"
Jeremy Davies,Benjamin Hendrickson,Alberta Watson,spanking the monkey
Bug Hall,Travis Tedford,Brittany Ashton Holmes,the little rascals
Jean Yanne,Ken Higelin,Florence Darel,à la mode
Tina Majorino,Keith Carradine,Chelsea Field,andre
Jim Broadbent,Phoebe Cates,Kevin Kline,princess caraboo
Lily Tomlin,Tony Curtis,Susan Sarandon,the celluloid closet
Vincent Cassel,Julie Mauduech,Hubert Koundé,café au lait
Nanni Moretti,Renato Carpentieri,Antonio Neiwiller,dear diary
Marcello Mastroianni,Luisina Brando,Alejandra Podesta,i don't want to talk about it
Shelley Long,Gary Cole,Christine Taylor,the brady bunch movie
Macaulay Culkin,Joe Pesci,Daniel Stern,home alone
Arnold Schwarzenegger,Linda Hamilton,Robert Patrick,terminator 2: judgment day
Kevin Costner,Mary McDonnell,Graham Greene,dances with wolves
Roddy Piper,Billy Blanks,Richard Norton,tough and deadly
Jodie Foster,Anthony Hopkins,Scott Glenn,the silence of the lambs
Adriana Caselotti,Lucille La Verne,Harry Stockwell,snow white and the seven dwarfs
Julia Roberts,Richard Gere,Ralph Bellamy,pretty woman
Viktor Mikhaylov,Nina Usatova,Agnès Soral,window to paris
William Holden,Ernest Borgnine,Robert Ryan,the wild bunch
Gil Bellows,Renée Zellweger,Rory Cochrane,love and a .45
Gu Bao-Ming,Mingjun Kao,Lan Wang,the wooden man's bride
Matthew Modine,Paul Reiser,Randy Quaid,bye bye love
Michelle Pfeiffer,George Clooney,Mae Whitman,one fine day
Tony Todd,Kelly Rowan,William O'Leary,candyman: farewell to the flesh
Charles Dance,Clive Owen,Miranda Richardson,century
William H. Macy,Frances McDormand,Steve Buscemi,fargo
Michael J. Fox,Sally Field,Ralph Waite,homeward bound ii: lost in san francisco
Rodger Bumpass,Jackie Burroughs,Joe Flaherty,heavy metal
Bruce Ramsay,Valentina Vargas,Charlotte Chatton,hellraiser: bloodline
David Schwimmer,Gwyneth Paltrow,Michael Rapaport,the pallbearer
Nino Manfredi,Johnny Dorelli,Anna Karina,bread and chocolate
Phil Harris,Sterling Holloway,Scatman Crothers,the aristocats
Marisa Paredes,Juan Echanove,Carme Elias,the flower of my secret
Antonio Banderas,Melanie Griffith,Daryl Hannah,two much
Matt LeBlanc,Jack Warden,Jayne Brook,ed
Donald Sutherland,Brad Dourif,Vittorio Mezzogiorno,scream of stone
Daniel Auteuil,Marthe Villalonga,Catherine Deneuve,my favorite season
James Russo,Cynda Williams,Paul Calderon,condition red
Selim Boughedir,Mustafa Adouani,Rabia Ben Abdallah,halfaouine: boy of the terraces
Lynn Whitfield,Martin Lawrence,Regina King,a thin line between love and hate
Cameron Diaz,Ron Eldard,Courtney B. Vance,the last supper
Richard Gere,Edward Norton,Laura Linney,primal fear
Dennis Hopper,Amy Irving,Amy Locane,carried away
Ernest Borgnine,Bebe Neuwirth,Charlie Sheen,all dogs go to heaven 2
Ian Hart,Rosana Pastor,Frédéric Pierrot,land and freedom
Tim Daly,Caroleen Feeney,Dan Gunther,denise calls up
Whoopi Goldberg,George Newbern,Richard Roundtree,theodore rex
Robert Duvall,James Earl Jones,Michael Beach,a family thing
Michael Gunther,Craig Chester,Michael Stock,frisk
Steve Martin,Dan Aykroyd,Phil Hartman,sgt. bilko
Richard E. Grant,Samantha Mathis,Judi Dench,jack & sarah
Theresa Randle,Isaiah Washington,Spike Lee,girl 6
Patrick Timsit,Ludwig Briand,Miou-Miou,"little indian, big city"
Anica Dobra,Martin Umbach,Tina Hamperl,roula
Ulrich Mühe,Iris Berben,Marita Marschall,peanuts – die bank zahlt alles
Emmanuelle Béart,Michel Serrault,Jean-Hugues Anglade,nelly and monsieur arnaud
Denzel Washington,Meg Ryan,Lou Diamond Phillips,courage under fire
Tom Cruise,Jon Voight,Emmanuelle Béart,mission: impossible
Masatoshi Nagase,Lili Taylor,Fisher Stevens,cold fever
Robin Wright,Morgan Freeman,Stockard Channing,moll flanders
Veronica Ferres,Til Schweiger,Joachim Król,the superwife
Pang Eun-jin,Hwang Shin-hye,Kim Choo-ryeon,"301, 302"
Dennis Quaid,David Thewlis,Pete Postlethwaite,dragonheart
Peter Ketnath,Nina Hoss,Steffen Schroeder,und keiner weint mir nach
George Tabori,Pauline Collins,Ulrich Tukur,my mother's courage
Whoopi Goldberg,Frank Langella,Dennis Farina,eddie
Leon Schuster,John Matshikiza,Wilson Dunster,yankee zulu
Alain Delon,Maurice Ronet,Marie Laforêt,purple noon
Miriam Margolyes,Joanna Lumley,Pete Postlethwaite,james and the giant peach
Dave Foley,Bruce McCulloch,Kevin McDonald,kids in the hall: brain candy
Cher,Chazz Palminteri,Ryan O'Neal,faithful
Johan Widerberg,Marika Lagercrantz,Tomas von Brömssen,all things fair
Daniel Bernhardt,Pat Morita,Donald Gibb,bloodsport ii
Kanu Bannerjee,Karuna Bannerjee,Chunibala Devi,pather panchali
Soumitra Chatterjee,Sharmila Tagore,Alok Chakravarty,the world of apu
Michael J. Nelson,Trace Beaulieu,Jim Mallon,mystery science theater 3000: the movie
Michael Jordan,Wayne Knight,Billy West,space jam
Jane Fonda,John Phillip Law,Anita Pallenberg,barbarella
Tia Carrere,Rigg Kennedy,Lisa Dean Ryan,hostile intentions
Donna Frotscher,Nick Baldasare,Christina Veronica,they bite
Billy Bob Thornton,Molly Ringwald,J.T. Walsh,some folks call it a sling blade
Albert Finney,Matt Keeslar,Victoria Smurfit,the run of the country
Eddie Constantine,Anna Karina,Akim Tamiroff,alphaville
Philippe Noiret,Isabelle Huppert,Jean-Pierre Marielle,coup de torchon
Talia Shire,Elizabeth Ashley,Joe Cortese,windows
Eric Roberts,Gregory Harrison,Lee Grant,it's my party
Greta Scacchi,Kerry Fox,Sam Neill,country life
Danny Glover,Ray Liotta,Denis Leary,operation dumbo drop
Shirley MacLaine,Ricki Lake,Brendan Fraser,mrs. winterbourne
Keanu Reeves,Cameron Diaz,Vincent D'Onofrio,feeling minnesota
Audie England,Costas Mandylor,Bernard Zette,delta of venus
Perry Anzilotti,Kathy Bates,Robert Curtis Brown,angus
Jan Decleir,Gérard Desarthe,Antje De Boeck,priest daens
Gena Rowlands,John Marley,Lynn Carlin,faces
Jean-Claude Van Damme,Roger Moore,James Remar,the quest
Ben Mendelsohn,Barry Otto,Toni Collette,cosi
Rhea Perlman,Fredro Starr,Carol Kane,sunset park
Nick Nolte,Melanie Griffith,Chazz Palminteri,mulholland falls
Uma Thurman,Janeane Garofalo,Ben Chaplin,the truth about cats & dogs
Joey Lawrence,Billy Joel,Cheech Marin,oliver & company
Damon Wayans,Daniel Stern,Christopher McDonald,celtic pride
Julia Ormond,Tim Roth,Colin Salmon,captives
Jennifer Connelly,Antonio Banderas,Stefania Sandrelli,of love and shadows
Johnny Depp,Gary Farmer,Crispin Glover,dead man
Juliette Binoche,Olivier Martinez,Pierre Arditi,the horseman on the roof
Joanne Nail,Robbie Lee,Asher Brauner,switchblade sisters
Michael Keaton,Andie MacDowell,Harris Yulin,multiplicity
Maila Nurmi,Dolores Fuller,Paul Marco,"the haunted world of edward d. wood, jr."
Robin Tunney,Fairuza Balk,Neve Campbell,the craft
Samuel L. Jackson,Jeff Goldblum,Peter Berg,the great white hype
Sharon Stone,Rob Morrow,Randy Quaid,last dance
Eileen Atkins,Kate Beckinsale,Sheila Burrell,cold comfort farm
Alice Krige,Mark Rylance,Gottfried John,"institute benjamenta, or this dream people call human life"
Alec Baldwin,Kelly Lynch,Eric Roberts,heaven's prisoners
Fred Williamson,Pam Grier,Jim Brown,original gangstas
Sean Connery,Nicolas Cage,Ed Harris,the rock
Jack Lemmon,Dan Aykroyd,Bonnie Hunt,getting away with murder
Rupert Everett,François Hadji-Lazaro,Anna Falchi,cemetery man
Pamela Anderson,Temuera Morrison,Victoria Rowell,barb wire
Gérard Depardieu,Géraldine Pailhas,Dominique Rocheteau,le garçu
Robert John Burke,Joe Mantegna,Lucinda Jenney,thinner
Leslie Nielsen,Nicollette Sheridan,Charles Durning,spy hard
Om Puri,Angeline Ball,Ace Bhatti,brothers in trouble
John Garfield,Thomas Gomez,Marie Windsor,force of evil
Tom Arnold,Jessica Lundy,Bug Hall,the stupids
Charlie Sheen,Lindsay Crouse,Richard Schiff,the arrival
Charles Laughton,Binnie Barnes,Richard Carlson,the man from down under
Peter Sellers,George C. Scott,Sterling Hayden,dr. strangelove or: how i learned to stop worrying and love the bomb
Kyle McCulloch,Gosia Dobrowolska,Sarah Neville,careful
Vanessa Redgrave,Edward Fox,Uma Thurman,a month by the lake
Christina Ricci,Anna Chlumsky,Polly Draper,gold diggers: the secret of bear mountain
Errol Flynn,Dean Stockwell,Paul Lukas,kim
Carmen Miranda,Aurora Miranda,Cesar Romero,carmen miranda: bananas is my business
Leslie Cheung,Tony Leung Ka-Fai,Brigitte Lin,ashes of time
Demi Moore,Burt Reynolds,Armand Assante,striptease
Catherine O'Hara,Jared Leto,Christina Ricci,the last of the high kings
Liv Tyler,Pruitt Taylor Vince,Shelley Winters,heavy
Lili Taylor,Jared Harris,Stephen Dorff,i shot andy warhol
Piper Laurie,Sissy Spacek,Walter Matthau,the grass harp
Tom Conti,Predrag 'Miki' Manojlović,María Casares,someone else's america
Papa Wemba,Landu Nzunzimbu Matshia,Bibi Krubwa,life is rosy
Magaye Niang,Aminata Fall,Ousseynou Diop,touki bouki
Serge Yanogo,Rosine Yanogo,Joseph Nikiema,god's gift
Brigitte Bardot,Alain Delon,Jane Fonda,spirits of the dead
Chris Cooper,Patricia Clarkson,Kris Kristofferson,pharaoh's  army
Ewan McGregor,Ewen Bremner,Jonny Lee Miller,trainspotting
Sarah Jessica Parker,Jeanne Tripplehorn,Dylan McDermott,til there was you
Will Smith,Bill Pullman,Jeff Goldblum,independence day
Liv Tyler,Sinéad Cusack,Jeremy Irons,stealing beauty
Jim Carrey,Matthew Broderick,Leslie Mann,the cable guy
Woody Harrelson,Randy Quaid,Vanessa Angel,kingpin
Arnold Schwarzenegger,James Caan,Vanessa Williams,eraser
Assumpta Serna,Dominique Sanda,Héctor Alterio,"i, the worst of all"
Kristin Scott Thomas,Claudiu Bleont,Olga Tudorache,an unforgettable summer
Rosie Perez,Harvey Keitel,Anthony Quinn,somebody to love
Robert McLane,Curt Gareth,Bo White,a very natural thing
Jeanne Moreau,Michel Serrault,Luc Thuillier,the old lady who walked in the sea
Michael J. Fox,Jeffrey Combs,Jake Busey,the frighteners
Chris Cooper,Matthew McConaughey,Elizabeth Peña,lone star
Michelle Trachtenberg,Rosie O'Donnell,J. Smith-Cameron,harriet the spy
John Travolta,Kyra Sedgwick,Forest Whitaker,phenomenon
Catherine Keener,Anne Heche,Liev Schreiber,walking and talking
Edward Burns,Michael McGlone,Cameron Diaz,she's the one
Matthew McConaughey,Sandra Bullock,Samuel L. Jackson,a time to kill
Dustin Hoffman,Dennis Franz,Sean Nelson,american buffalo
Clara Bellar,Antoine Basler,Mathias Mégard,rendezvous in paris
Thora Birch,Vincent Kartheiser,Dirk Benedict,alaska
Laurence Fishburne,Stephen Baldwin,Salma Hayek,fled
Shaquille O'Neal,Francis Capra,Ally Walker,kazaam
Bill Murray,Tai the Elephant,Jeremy Piven,larger than life
Eric Roberts,Lisa Thornhill,Jason Gedrick,power 98
Sônia Braga,Patrick Malahide,Michael Gambon,two deaths
Shelley Long,Gary Cole,Christopher Daniel Barnes,a very brady sequel
Maurizio Nichetti,Elena Sofia Ricci,Amanda Sandrelli,stefano quantestorie
Simone Signoret,Charles Vanel,Georges Marchal,death in the garden
Huw Garmon,Catrin Fychan,Ceri Cunnington,hedd wyn
Patrick Bauchau,Haydée Politoff,Daniel Pommereulle,la collectionneuse
André Eisermann,Udo Samel,Jeremy Clyde,kaspar hauser
Christoph M. Ohrt,Carin C. Tietze,Tim Bergmann,regular guys
Christiane Hörbiger,Jennifer Nitsch,Lena Stolze,diebinnen
Martin Landau,Jonathan Taylor Thomas,Geneviève Bujold,the adventures of pinocchio
Jerry O'Connell,Megan Ward,Billy West,joe's apartment
Goldie Hawn,Bette Midler,Diane Keaton,the first wives club
Jon Lovitz,Tia Carrere,Louise Fletcher,high school high
Jermaine 'Huggy' Hopkins,Claudia Kaleem,Candice Merideth,phat beach
Vincent Pérez,Mia Kirshner,Iggy Pop,the crow: city of angels
Jamie Lee Curtis,Kevin Pollak,Kyle Howard,house arrest
Pierre Brasseur,Alida Valli,Edith Scob,eyes without a face
Dennis Miller,Эрика Элениак,Angie Everhart,bordello of blood
Paul Austin,Robert John Burke,Martin Donovan,flirt
Lara Flynn Boyle,Danny Nucci,Peter Dobson,the big squeeze
Alison Elliott,Ellen Burstyn,Marcia Gay Harden,the spitfire grill
Kurt Russell,Stacy Keach,Steve Buscemi,escape from l.a.
Le Van Loc,Tony Leung Chiu-Wai,Như Quỳnh Nguyễn,cyclo
Jeffrey Wright,David Bowie,Dennis Hopper,basquiat
Kevin Costner,Don Johnson,Cheech Marin,tin cup
Colin Friels,Miles Davis,Helen Buday,dingo
Nathalie Baye,Joachim Serreau,Felicie Pasotti,every other weekend
Marlon Brando,Al Pacino,James Caan,the godfather
Til Schweiger,Katja Riemann,Joachim Król,maybe... maybe not
Jackie Chan,Michelle Yeoh,Maggie Cheung,police story 3: supercop
Mary Kay Place,Scarlett Johansson,Aleska Palladino,manny & lo
Mieko Takamine,Ken Uehara,Rentarô Mikuni,wife
Tom Arnold,David Paymer,Rhea Perlman,carpool
Sam Neill,John Clarke,Zoe Carides,death in brunswick
Jennifer Jason Leigh,Miranda Richardson,Harry Belafonte,kansas city
Joe Pesci,Danny Glover,Rosanna Arquette,gone fishin'
Billy Campbell,Jennifer Grey,Tim Curry,lover's knot
Lee Kang-Sheng,Chen Chao-jung,Yang Kuei-Mei,vive l'amour
Ingrid Caven,Rainer Werner Fassbinder,Klaus Löwitsch,shadow of angels
James Woods,Robert Sean Leonard,Cara Buono,killer: a journal of murder
Michelle Yeoh,Yu Rong-Guang,Emil Chow,project s
Penelope Ann Miller,Tom Sizemore,Linda Hunt,the relic
Sinbad,Brock Pierce,Blake Boyd,first kid
Kyle MacLachlan,Elisabeth Shue,Dermot Mulroney,the trigger effect
Whoopi Goldberg,Gérard Depardieu,Haley Joel Osment,bogus
Polly Walker,Frances McDormand,Vincent Pérez,talk of angels
Scott McAfee,Candace Hutson,Heather Hogan,the land before time iii: the time of the great giving
Donald Pleasence,Paul Rudd,Marianne Hagan,halloween: the curse of michael myers
Helena Bonham Carter,Richard E. Grant,Nigel Hawthorne,twelfth night
Nick Nolte,Sheryl Lee,Alan Arkin,mother night
Paul Hörbiger,Magda Schneider,Luise Ullrich,liebelei
Marcin Walewski,Magdalena Cielecka,Mariusz Bonaszewski,venice
Gaël Morel,Élodie Bouchez,Stéphane Rideau,wild reeds
Gary Cooper,Ingrid Bergman,Akim Tamiroff,for whom the bell tolls
Katharine Hepburn,Cary Grant,James Stewart,the philadelphia story
Gene Kelly,Donald O'Connor,Debbie Reynolds,singin' in the rain
Gene Kelly,Leslie Caron,Oscar Levant,an american in paris
Audrey Hepburn,Fred Astaire,Kay Thompson,funny face
Audrey Hepburn,George Peppard,Patricia Neal,breakfast at tiffany's
James Stewart,Kim Novak,Barbara Bel Geddes,vertigo
Clark Gable,Claudette Colbert,Walter Connolly,it happened one night
Fred Astaire,Ginger Rogers,Alice Brady,the gay divorcee
Cary Grant,Eva Marie Saint,James Mason,north by northwest
Marilyn Monroe,Tony Curtis,Jack Lemmon,some like it hot
Cary Grant,Audrey Hepburn,Walter Matthau,charade
Humphrey Bogart,Ingrid Bergman,Paul Henreid,casablanca
Audrey Hepburn,Rex Harrison,Stanley Holloway,my fair lady
Humphrey Bogart,Audrey Hepburn,William Holden,sabrina
Gregory Peck,Audrey Hepburn,Eddie Albert,roman holiday
Shirley Temple,Richard Greene,Anita Louise,the little princess
Judy Garland,Margaret O'Brien,Mary Astor,meet me in st. louis
Vivien Leigh,Clark Gable,Olivia de Havilland,gone with the wind
Peter O'Toole,Mark Linn-Baker,Jessica Harper,my favorite year
William Holden,Gloria Swanson,Erich von Stroheim,sunset boulevard
Orson Welles,Joseph Cotten,Dorothy Comingore,citizen kane
Keir Dullea,Gary Lockwood,William Sylvester,2001: a space odyssey
Ray Milland,Marlene Dietrich,Murvyn Vye,golden earrings
Bette Davis,Anne Baxter,George Sanders,all about eve
Laurence Olivier,Joan Fontaine,George Sanders,rebecca
Joel McCrea,Laraine Day,Herbert Marshall,foreign correspondent
Cary Grant,Deborah Kerr,Richard Denning,an affair to remember
Cary Grant,Grace Kelly,Jessie Royce Landis,to catch a thief
Fred Astaire,Cyd Charisse,Oscar Levant,the band wagon
Greta Garbo,Melvyn Douglas,Ina Claire,ninotchka
Rex Harrison,Kay Kendall,Sandra Dee,the reluctant debutante
Errol Flynn,Olivia de Havilland,Basil Rathbone,the adventures of robin hood
Gene Tierney,Dana Andrews,Clifton Webb,laura
Gene Tierney,Rex Harrison,George Sanders,the ghost and mrs. muir
Fred Astaire,Ginger Rogers,Edward Everett Horton,top hat
James Dean,Julie Harris,Raymond Massey,east of eden
William Powell,Myrna Loy,Maureen O'Sullivan,the thin man
Cary Grant,Rosalind Russell,Ralph Bellamy,his girl friday
David Niven,Cantinflas,Finlay Currie,around the world in eighty days
James Stewart,Donna Reed,Lionel Barrymore,it's a wonderful life
James Stewart,Jean Arthur,Claude Rains,mr. smith goes to washington
