Marcello Mastroianni,Sophia Loren,Jean-Pierre Cassel,prêt-à-porter
Irène Jacob,Jean-Louis Trintignant,Jean-Pierre Lorit,three colors: red
Juliette Binoche,Benoît Régent,Florence Pernel,three colors: blue
Zbigniew Zamachowski,Julie Delpy,Janusz Gajos,three colors: white
Leslie Nielsen,Christopher Lloyd,Matt McCoy,rent-a-kid
Darlanne Fluegel,James Brolin,Martin Neufeld,relative fear
Al Franken,Laura San Giacomo,Vincent D'Onofrio,stuart saves his family
Michelle Nicastro,Jack Palance,Howard McGillin,the swan princess
Jeni Courtney,Eileen Colgan,Mick Lally,the secret of roan inish
Sylvester Stallone,Sharon Stone,James Woods,the specialist
Kurt Russell,James Spader,Jaye Davidson,stargate
Tim Allen,Judge Reinhold,Wendy Crewson,the santa clause
Tim Robbins,Morgan Freeman,Bob Gunton,the shawshank redemption
Kerry Fox,Christopher Eccleston,Ewan McGregor,shallow grave
Dennis Haysbert,Michael Harris,Mel Harris,suture
Jorge Perugorría,Vladimir Cruz,Mirta Ibarra,strawberry and chocolate
Kevin Spacey,Frank Whaley,Michelle Forbes,swimming with sharks
Jack Thompson,John Polson,Deborah Kennedy,the sum of us
Matt Frewer,Valerie Mahaffey,Lawrence Dane,senior trip
Ge You,Gong Li,Niu Ben,to live
Lori Petty,Ice-T,Naomi Watts,tank girl
Billy Zane,William Sadler,Jada Pinkett Smith,tales from the crypt: demon knight
Patrick Stewart,Jonathan Frakes,Brent Spiner,star trek: generations
Clarence Williams III,Corbin Bernsen,David Alan Grier,tales from the hood
Willem Dafoe,Miranda Richardson,Rosemary Harris,tom & viv
Chris Farley,David Spade,Brian Dennehy,tommy boy
Wallace Shawn,Julianne Moore,Larry Pine,vanya on 42nd street
Johnny Depp,Leonardo DiCaprio,Juliette Lewis,what's eating gilbert grape
Denzel Washington,Russell Crowe,Kelly Lynch,virtuosity
Sandra Bullock,Bill Pullman,Peter Gallagher,while you were sleeping
Sandra Oh,Stephen Chang,Alannah Ong,double happiness
Toni Collette,Bill Hunter,Rachel Griffiths,muriel's wedding
Schuyler Fisk,Bre Blair,Rachael Leigh Cook,the baby-sitters club
Jim Carrey,Sean Young,Courteney Cox,ace ventura: pet detective
Terence Stamp,Hugo Weaving,Guy Pearce,"the adventures of priscilla, queen of the desert"
Stephen Dorff,Ian Hart,Sheryl Lee,backbeat
